sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
P-SAP-1,,Petshop,simple,"Patinhas,Patinhas/Cães,Patinhas/Cães/Beleza e Limpeza para Cães",petshop_code,Shampoo Anti-Pulgas,,"<p>- Controle antipulgas;
- Hidrata e revitaliza os pelos;
- Tonifica e protege a pelagem.
</p>",0.300000,1,0,"Catalog, Search",20.000000,,,,shampoo-anti-pulgas,Shampoo anti pulgas,Shampoo anti pulgas,"Shampoo anti pulgas ",https://www.petlove.com.br/images/products/224783/product/Shampoo_Sanol_Dog_Antipulgas_-_500_mL_3103184.jpg,https://www.petlove.com.br/images/products/224783/product/Shampoo_Sanol_Dog_Antipulgas_-_500_mL_3103184.jpg,https://www.petlove.com.br/images/products/224783/product/Shampoo_Sanol_Dog_Antipulgas_-_500_mL_3103184.jpg,https://www.petlove.com.br/images/products/224783/product/Shampoo_Sanol_Dog_Antipulgas_-_500_mL_3103184.jpg,https://www.petlove.com.br/images/products/224783/product/Shampoo_Sanol_Dog_Antipulgas_-_500_mL_3103184.jpg,https://www.petlove.com.br/images/products/224783/product/Shampoo_Sanol_Dog_Antipulgas_-_500_mL_3103184.jpg,https://www.petlove.com.br/images/products/224783/product/Shampoo_Sanol_Dog_Antipulgas_-_500_mL_3103184.jpg,,03/09/2021 11:48,03/09/2021 12:28,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remedios,petshop_shape=medio",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-CBD-1,,Petshop,simple,"Patinhas,Patinhas/Cães,Patinhas/Cães/Beleza e Limpeza para Cães",petshop_code,Condicionador Brilho e Desembaraço,,"<p>- Livre de parabenos;
- Selo PETA, não testado em animais;
- Indicado para cães de todas as raças;
- Proporciona máxima maciez aos pelos.</p>",0.300000,1,0,"Catalog, Search",25.000000,,,,condicionador,Condicionador,Condicionador,"Condicionador ",https://www.petlove.com.br/images/products/136527/product/7897085911917.jpg,https://www.petlove.com.br/images/products/136527/product/7897085911917.jpg,https://www.petlove.com.br/images/products/136527/product/7897085911917.jpg,https://www.petlove.com.br/images/products/136527/product/7897085911917.jpg,https://www.petlove.com.br/images/products/136527/product/7897085911917.jpg,https://www.petlove.com.br/images/products/136527/product/7897085911917.jpg,https://www.petlove.com.br/images/products/136527/product/7897085911917.jpg,,03/09/2021 11:59,03/09/2021 12:28,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remedios,petshop_shape=medio",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-RC-1,,Petshop,simple,"Patinhas,Patinhas/Cães",petshop_code,Ração para Cachorros,,"<p>Ração para cachorro Premium Especial: Nutrição de alta qualidade pelo melhor custo benefício

- Sabor irresistível;
- Intestino saudável;
- Proteínas de alta qualidade;
- Pelagem mais macia e brilhante;
- Redução do odor e firmeza das fezes;
- Sem corantes e aromatizantes artificiais;
- Desenvolvida por veterinários a partir de ingredientes selecionados;
- Enriquecido com vitaminas e minerais essenciais para maior saúde e vitalidade.</p>",0.300000,1,0,"Catalog, Search",200.000000,,,,racao-para-cachorro-vintekg,Ração para cachorro 20kg,Ração para cachorro 20kg,"Ração para cachorro 20kg ",https://a-static.mlcdn.com.br/574x431/racao-magnus-todo-dia-sabor-carne-para-caes-adultos-20kg/mercadopetmaxmaringa/8894268986/d97ecd366746917bc3e8db5e8ff102ea.jpg,https://a-static.mlcdn.com.br/574x431/racao-magnus-todo-dia-sabor-carne-para-caes-adultos-20kg/mercadopetmaxmaringa/8894268986/d97ecd366746917bc3e8db5e8ff102ea.jpg,https://a-static.mlcdn.com.br/574x431/racao-magnus-todo-dia-sabor-carne-para-caes-adultos-20kg/mercadopetmaxmaringa/8894268986/d97ecd366746917bc3e8db5e8ff102ea.jpg,https://a-static.mlcdn.com.br/574x431/racao-magnus-todo-dia-sabor-carne-para-caes-adultos-20kg/mercadopetmaxmaringa/8894268986/d97ecd366746917bc3e8db5e8ff102ea.jpg,https://a-static.mlcdn.com.br/574x431/racao-magnus-todo-dia-sabor-carne-para-caes-adultos-20kg/mercadopetmaxmaringa/8894268986/d97ecd366746917bc3e8db5e8ff102ea.jpg,https://a-static.mlcdn.com.br/574x431/racao-magnus-todo-dia-sabor-carne-para-caes-adultos-20kg/mercadopetmaxmaringa/8894268986/d97ecd366746917bc3e8db5e8ff102ea.jpg,https://a-static.mlcdn.com.br/574x431/racao-magnus-todo-dia-sabor-carne-para-caes-adultos-20kg/mercadopetmaxmaringa/8894268986/d97ecd366746917bc3e8db5e8ff102ea.jpg,,03/09/2021 11:59,03/09/2021 12:29,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=medio",40.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-CPC-1,,Petshop,simple,"Patinhas,Patinhas/Cães,Patinhas/Cães/Acessórios para Cães",petshop_code,Coleira Peitoral para Cachorro,,"<p>- Peitoral de nylon para cães;
- Seguro e confortável;
- Ajustável, ele pode se adaptar ao tamanho do seu cão.</p>",0.300000,1,0,"Catalog, Search",18.990000,,,,coleira-peitoral-para-cachorro,Coleira peitoral para cachorro,Coleira peitoral para cachorro,"Coleira peitoral para cachorro ",https://www.petlove.com.br/images/products/142321/product/Peitoral-Jambo-Color-Square.jpg,https://www.petlove.com.br/images/products/142321/product/Peitoral-Jambo-Color-Square.jpg,https://www.petlove.com.br/images/products/142321/product/Peitoral-Jambo-Color-Square.jpg,https://www.petlove.com.br/images/products/142321/product/Peitoral-Jambo-Color-Square.jpg,https://www.petlove.com.br/images/products/142321/product/Peitoral-Jambo-Color-Square.jpg,https://www.petlove.com.br/images/products/142321/product/Peitoral-Jambo-Color-Square.jpg,https://www.petlove.com.br/images/products/142321/product/Peitoral-Jambo-Color-Square.jpg,,03/09/2021 11:59,03/09/2021 12:28,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Coleiras,petshop_shape=medio",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-REN-1,,Petshop,simple,"Patinhas,Patinhas/Cães",petshop_code,"Ração Ecopet Natural  ",,"<p>- Prebióticos Naturais;
- L-carnitina e proteínas de alto valor biológico.</p>",0.300000,1,0,"Catalog, Search",234.990000,,,,racao-escopet-natural,"Ração Escopet Natural  ","Ração Escopet Natural  ","Ração Escopet Natural   ",https://cdn.awsli.com.br/600x450/737/737193/produto/32200043/7522666c45.jpg,https://cdn.awsli.com.br/600x450/737/737193/produto/32200043/7522666c45.jpg,https://cdn.awsli.com.br/600x450/737/737193/produto/32200043/7522666c45.jpg,https://cdn.awsli.com.br/600x450/737/737193/produto/32200043/7522666c45.jpg,https://cdn.awsli.com.br/600x450/737/737193/produto/32200043/7522666c45.jpg,https://cdn.awsli.com.br/600x450/737/737193/produto/32200043/7522666c45.jpg,https://cdn.awsli.com.br/600x450/737/737193/produto/32200043/7522666c45.jpg,,03/09/2021 11:59,03/09/2021 12:33,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=pequeno",50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-SCD-1,,Petshop,simple,"Patinhas,Patinhas/Cães,Patinhas/Cães/Beleza e Limpeza para Cães",petshop_code,Soft Care Dental,,"<p>- Uso diário e contínuo;
- Indicado para cães e gatos;
- Spray prático e instantâneo;
- Não contém álcool, flúor e açúcar;
- Auxilia na manutenção da saúde oral;
- Age rapidamente contra o mau hálito.</p>",0.300000,1,0,"Catalog, Search",68.000000,,,,soft-care-dental,Soft Care Dental,Soft Care Dental,"Soft Care Dental ",https://cdn.awsli.com.br/600x450/1768/1768500/produto/85983739/9cdd44e98b.jpg,https://cdn.awsli.com.br/600x450/1768/1768500/produto/85983739/9cdd44e98b.jpg,https://cdn.awsli.com.br/600x450/1768/1768500/produto/85983739/9cdd44e98b.jpg,https://cdn.awsli.com.br/600x450/1768/1768500/produto/85983739/9cdd44e98b.jpg,https://cdn.awsli.com.br/600x450/1768/1768500/produto/85983739/9cdd44e98b.jpg,https://cdn.awsli.com.br/600x450/1768/1768500/produto/85983739/9cdd44e98b.jpg,https://cdn.awsli.com.br/600x450/1768/1768500/produto/85983739/9cdd44e98b.jpg,,03/09/2021 11:59,03/09/2021 12:32,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remedios,petshop_shape=medio",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-AM-1,,Petshop,simple,"Patinhas,Patinhas/Pássaros",petshop_code,Areia Mineralizada,,"<p>- Mais higiênico: Não faz lama e não forma torrão;
- pH Neutro e atóxico: Não possui aditivos químicos;
- Produto leve e alto rendimento: Maior rendimento com menos peso;
- Fácil manutenção: Retirada apenas das fezes e dos grãos saturados.</p>",0.300000,1,0,"Catalog, Search",25.950000,,,,areia-mineralizada,Areia Mineralizada,Areia Mineralizada,"Areia Mineralizada ",https://cdn.awsli.com.br/600x450/1244/1244274/produto/56982214/8b22068703.jpg,https://cdn.awsli.com.br/600x450/1244/1244274/produto/56982214/8b22068703.jpg,https://cdn.awsli.com.br/600x450/1244/1244274/produto/56982214/8b22068703.jpg,https://cdn.awsli.com.br/600x450/1244/1244274/produto/56982214/8b22068703.jpg,https://cdn.awsli.com.br/600x450/1244/1244274/produto/56982214/8b22068703.jpg,https://cdn.awsli.com.br/600x450/1244/1244274/produto/56982214/8b22068703.jpg,https://cdn.awsli.com.br/600x450/1244/1244274/produto/56982214/8b22068703.jpg,,03/09/2021 11:59,03/09/2021 12:36,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,petshop_shape=pequeno,65.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-VP-1,,Petshop,simple,"Patinhas,Patinhas/Pássaros,Patinhas/Pássaros/Acessórios para Aves",petshop_code,Viveiro para Pássaros,,"<p>- Indicado para aves;
- Estilo clássico, resistente, espaçoso e acolhedor;
- Fabricado em metal com pintura epóxi de ótimo acabamento;
- Ideal para aves em geral de porte médio e grande;
- A bandeja possui uma extensão externa nos quatro lados com 10 centímetros;
- Facilita que acrescente ração sem precisar abrir a porta do viveiro;
- Com portas na parte superior, ele ainda possui um lindo poleiro externo;
- Produto ideal para o bem-estar da ave e para a decoração da sua residência;
- Disponível em embalagem com 1 unidade.</p>",0.300000,1,0,"Catalog, Search",350.000000,,,,viveiro-para-passaros,Viveiro para passaros,Viveiro para passaros,"Viveiro para passaros ",https://30646.cdn.simplo7.net/static/30646/sku/passaros-viveiro-chalesco-chale-branco--p-1548952327436.jpg,https://30646.cdn.simplo7.net/static/30646/sku/passaros-viveiro-chalesco-chale-branco--p-1548952327436.jpg,https://30646.cdn.simplo7.net/static/30646/sku/passaros-viveiro-chalesco-chale-branco--p-1548952327436.jpg,https://30646.cdn.simplo7.net/static/30646/sku/passaros-viveiro-chalesco-chale-branco--p-1548952327436.jpg,https://30646.cdn.simplo7.net/static/30646/sku/passaros-viveiro-chalesco-chale-branco--p-1548952327436.jpg,https://30646.cdn.simplo7.net/static/30646/sku/passaros-viveiro-chalesco-chale-branco--p-1548952327436.jpg,https://30646.cdn.simplo7.net/static/30646/sku/passaros-viveiro-chalesco-chale-branco--p-1548952327436.jpg,,03/09/2021 11:59,03/09/2021 12:38,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,petshop_shape=medio,15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-RW-1,,Petshop,simple,"Patinhas,Patinhas/Gatos",petshop_code,Ração Whiskas,,"<p>- Com DHA para ajudar no desenvolvimento do cérebro;
- Ração Premium 100% completa e balanceada para gatos filhotes;
- Grãos pequenos com tamanho ideal para a boca do seu gatinho;
- Cálcio para apoiar no desenvolvimento de ossos e de dentes saudáveis;
- Receita com Taurina, vitaminas e minerais para um crescimento saudável;
- Ação antioxidante que auxilia na proteção das células do filhote contra a oxidação.</p>",0.300000,1,0,"Catalog, Search",54.750000,,,,comida-para-gato,Comida para gato,Comida para gato,Comida para gato,https://www.petlove.com.br/images/products/225757/product/Ra%C3%A7%C3%A3o_Whiskas_Carne_1__Anos_para_Gatos_Castrados_3104634.jpg,https://www.petlove.com.br/images/products/225757/product/Ra%C3%A7%C3%A3o_Whiskas_Carne_1__Anos_para_Gatos_Castrados_3104634.jpg,https://www.petlove.com.br/images/products/225757/product/Ra%C3%A7%C3%A3o_Whiskas_Carne_1__Anos_para_Gatos_Castrados_3104634.jpg,https://www.petlove.com.br/images/products/225757/product/Ra%C3%A7%C3%A3o_Whiskas_Carne_1__Anos_para_Gatos_Castrados_3104634.jpg,https://www.petlove.com.br/images/products/225757/product/Ra%C3%A7%C3%A3o_Whiskas_Carne_1__Anos_para_Gatos_Castrados_3104634.jpg,https://www.petlove.com.br/images/products/225757/product/Ra%C3%A7%C3%A3o_Whiskas_Carne_1__Anos_para_Gatos_Castrados_3104634.jpg,https://www.petlove.com.br/images/products/225757/product/Ra%C3%A7%C3%A3o_Whiskas_Carne_1__Anos_para_Gatos_Castrados_3104634.jpg,,03/09/2021 12:00,03/09/2021 12:40,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=medio",35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-RM-1,,Petshop,simple,"Patinhas,Patinhas/Gatos",petshop_code,Ração Matisse,,"<p>- Ração premium indicada para gatos adultos castrados.
- Melhora o brilho da pelagem.
- Alta digestibilidade, rica em Taurina.
- Controla o pH urinário.</p>",0.300000,1,0,"Catalog, Search",70.000000,,,,matisse-salm-o-e-arroz,Matisse salmão e arroz,Matisse salmão e arroz,"Matisse salmão e arroz ",https://www.agromeyer.com.br/wp-content/uploads/2018/01/251-59-brasil-matissecastrados-frango-500x500.png,https://www.agromeyer.com.br/wp-content/uploads/2018/01/251-59-brasil-matissecastrados-frango-500x500.png,https://www.agromeyer.com.br/wp-content/uploads/2018/01/251-59-brasil-matissecastrados-frango-500x500.png,https://www.agromeyer.com.br/wp-content/uploads/2018/01/251-59-brasil-matissecastrados-frango-500x500.png,https://www.agromeyer.com.br/wp-content/uploads/2018/01/251-59-brasil-matissecastrados-frango-500x500.png,https://www.agromeyer.com.br/wp-content/uploads/2018/01/251-59-brasil-matissecastrados-frango-500x500.png,https://www.agromeyer.com.br/wp-content/uploads/2018/01/251-59-brasil-matissecastrados-frango-500x500.png,,03/09/2021 12:00,03/09/2021 12:42,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=medio",35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
