sku,store_view_code,attribute_set_code,product_type,name,url_key,meta_title,short_description
P-SAP-1,petshop_en_view_code,Petshop,simple,Anti-Flea Shampoo,anti-flea-shampoo,Anti-Flea Shampoo,"<p>-Flea control;
- Hydratation and revitalizes fur;- Tones and Protect the coat.</p>"
P-CBD-1,petshop_en_view_code,Petshop,simple,Conditioner	,conditioner,Conditioner,"<p>- Parabens-free;
- PETA certification – Not tested in animals yet- Recommended for any kind of dogs race- Max coat soft.</p>"
P-RC-1,petshop_en_view_code,Petshop,simple,Dog Food 20kg,dog-food,Dog Food 20kg,"<p>Premium dogs ration, High nutrition for your pet
- Excellent flavor;- Healthy intestine;- High quality protains;- Coat more soft and brightness;- Odor redution and fastness feces;- Without artificial dyes and flavoring;- Developed by vets and selected ingredients- Vitamins and minerals for improve health and vitality.</p>"
P-CPC-1,petshop_en_view_code,Petshop,simple,Dog Leash	,dog-leash,Dog Leash,"<p>- nylon breastplate for dogs
- Secure and comfortable;- adjustable, adaptable for your pets size .</p>"
P-REN-1,petshop_en_view_code,Petshop,simple,Escopet Natural Food	,escopet-natural-food,Escopet Natural Food,"<p>- Natural prebiotics;
- L-carnitina and proteins with high biologic value.</p>"
P-SCD-1,petshop_en_view_code,Petshop,simple,Soft Care Dental,soft-care-dental,Soft Care Dental,"<p>- Daily use;
- Recommended for cats and dogs;- instant and practice spray;- Free of alcohol, fluoride and sugar;- Help in dental health;- Fast solution for bad breath.</p>"
P-AM-1,petshop_en_view_code,Petshop,simple,Mineralized Sand	,mineralized-sand,Mineralized Sand,"<p>- hygienic: Doesn’t make mud and not form clod;
- Neutral e non toxic pH : Doesn’t have chemical additives;- light product and high yield : More yeld with lowest price;- Easy maintenance: Removal only of faeces and saturated grains.</p>"
P-VP-1,petshop_en_view_code,Petshop,simple,Bird Cage	,bird-cage,Bird Cage,"<p>- Recommended by birds;
- classic style, resistant, spacious and cozy;- buld in metal with excellent quality;- Recommended for medium and big birds;- The tray has an external extension on all four sides with 10 centimeters;- Easily to put food for your bird without need to open the main gate;- Gates in top of cage, with beautiful external perch;- Ideal product for the well-being of the bird and for the decoration of your home;- Available in separated unit.</p>"
P-RW-1,petshop_en_view_code,Petshop,simple,Whiskas Food	,whiskas-food,Whiskas Food,"<p> - DHA For help the development of brain;
- Premium Race developed for kitten;- little grains for your kitten;- calcium for help in development of bones;- Taurine recipe,vitamins and minerals for heath development;- antioxidant action that helps protect the puppy's cells against oxidation.</p>"
P-RM-1,petshop_en_view_code,Petshop,simple,Matisse Food	,matisse-food,Matisse Food,"<p>- Premium Race recommended for cats.
- Improve brightness of coat.- Control urinary pH.</p>"
P-AG-1,petshop_en_view_code,Petshop,simple,Scratcher for Cats,scratcher-for-cats,Scratcher for Cats,"<p>- Help in nail wear;
- Made with reused products;- Recommended for cats that lives in apartments- With a vertical format that helps the scratch fit.</p>"
P-CA4E-1,petshop_en_view_code,Petshop,simple,Scratcher House with 4 Stations	,scratcher-house-with-4-stations,Scratcher House with 4 Stations,"<p>- Keeps the right temperature, keeps the feline protected from the cold and excessive heat;
- Customizable with your pet's name;- Resistant and ecological;- Easy to assemble, no glue needed;- Fun and cozy;- With top strap.</p>"
P-BCL-1,petshop_en_view_code,Petshop,simple,Dog Toy,dog-toy,Dog Toy,"<p>- Control anxiety;
- High quality materials;- Made specifically for dogs;- Encourages physical activity for your pet.</p>"
P-BGT-1,petshop_en_view_code,Petshop,simple,Cat Toy,cat-toy,Cat Toy,"<p>- Control anxiety;
- High quality materials;- Made specifically for dogs;- Encourages physical activity for your pet.</p>"
P-RPG-3,petshop_en_view_code,Petshop,simple,Naruto Cat Clothes,"naruto-cat-clothes
",Naruto Cat Clothes,"<p>- sweatshirt fabric;
- Stylish print;- Very comfortable;- Various sizes;- Warm up the pet in the cold;- Comfortable and practical to use.</p>"
P-RPG-4,petshop_en_view_code,Petshop,simple,Cat Clothes,white-cat-clothes,Cat Clothes,"<p>- sweatshirt fabric;
- Stylish print;- Very comfortable;- Various sizes;- Warm up the pet in the cold;- Comfortable and practical to use.</p>"
P-NMMP-1,petshop_en_view_code,Petshop,virtual,Magical Nature,"magical-nature
",Magical Nature,"<p>- Massages the gums;
- Fun with Interactivity;- Recommended by Trainers.</p>"
P-EBCC-1,petshop_en_view_code,Petshop,downloadable,E-book Dog Breeding,dog-breeding,E-book Dog Breeding,"<p>- Massages the gums;
- Fun with Interactivity;- Recommended by Trainers.</p>"
P-RCB-1,petshop_en_view_code,Petshop,bundle,Dog Food Bundle,dog-food-bundle,Dog Food Bundle,"<p>Premium dogs ration, High nutrition for your pet
- Excellent flavor;- Healthy intestine;- High quality protains;- Coat more soft and brightness;- Odor redution and fastness feces;- Without artificial dyes and flavoring;- Developed by vets and selected ingredients- Vitamins and minerals for improve health and vitality.</p>"
P-RPG-2,petshop_en_view_code,Petshop,configurable,Cat Clothes,cat-clothes,Cat Clothes,"<p>- sweatshirt fabric;
- Stylish print;- Very comfortable;- Various sizes;- Warm up the pet in the cold;- Comfortable and practical to use.</p>"
P-KBCG-1,petshop_en_view_code,Petshop,grouped,Dog Toy Kit,dog-toy-kit,Dog Toy Kit,<p>Kit with multiples toys for your dog.</p>
P-BFMA-1,petshop_en_view_code,Petshop,simple,"Wooden Toy for Birds Ferplast ",wooden-toy-for-birds-ferplast,Wooden Toy for Birds Ferplast,"<p>- In Wood;
- With bells;- Easy to hang.</p>"
P-BPC-1,petshop_en_view_code,Petshop,simple,Ball,ball,Ball,<p>- A ball that help your pet to have entertainment</p>
