sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
Shampoo_anti_pulgas,,Petshop,simple,"Patinhas/Cachorros,Patinhas/Banho",petshop_code,Shampoo anti pulgas,,,300.000000,1,0,"Catalog, Search",20.000000,,,,shampoo-anti-pulgas,Shampoo anti pulgas,Shampoo anti pulgas,"Shampoo anti pulgas ",/s/h/shampoo.jpeg,,/s/h/shampoo.jpeg,,/s/h/shampoo.jpeg,,/s/h/shampoo.jpeg,,31/08/2021 16:44,01/09/2021 11:19,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remédio,petshop_shape=Médio",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/h/shampoo.jpeg,,,,,,,,,,,,,,
Condicionador,,Petshop,simple,"Patinhas/Cachorros,Patinhas/Banho",petshop_code,Condicionador,,,,1,0,"Catalog, Search",25.000000,,,,condicionador,Condicionador,Condicionador,"Condicionador ",/c/o/condicionador.jpeg,,/c/o/condicionador.jpeg,,/c/o/condicionador.jpeg,,/c/o/condicionador.jpeg,,31/08/2021 16:52,01/09/2021 11:17,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remédio,petshop_shape=Médio",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/o/condicionador.jpeg,,,,,,,,,,,,,,
Racao_para_cachorro_20kg,,Petshop,simple,Patinhas/Cachorros,petshop_code,Ração para cachorro 20kg,,,20.000000,1,0,"Catalog, Search",200.000000,,,,rac-o-para-cachorro-20kg,Ração para cachorro 20kg,Ração para cachorro 20kg,"Ração para cachorro 20kg ",/r/a/ra_o.jpeg,,/r/a/ra_o.jpeg,,/r/a/ra_o.jpeg,,/r/a/ra_o.jpeg,,01/09/2021 11:08,01/09/2021 11:08,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=Médio",40.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/a/ra_o.jpeg,,,,,,,,,,,,,,
Coleira_para_cachorro,,Petshop,simple,"Patinhas/Cachorros,Patinhas/Acessórios",petshop_code,Coleira peitoral para cachorro,,,300.000000,1,0,"Catalog, Search",18.990000,,,,coleira-peitoral-para-cachorro,Coleira peitoral para cachorro,Coleira peitoral para cachorro,"Coleira peitoral para cachorro ",/c/o/coleira3_1.jpg,,/c/o/coleira3_1.jpg,,/c/o/coleira3_1.jpg,,/c/o/coleira3_1.jpg,,01/09/2021 11:16,01/09/2021 11:16,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Coleiras,petshop_shape=Pequeno",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/o/coleira3_1.jpg,,,,,,,,,,,,,,
Racao_Escopet_Natural_32,,Petshop,simple,Patinhas/Cachorros,petshop_code,"Ração Escopet Natural  ",,,20000.000000,1,0,"Catalog, Search",234.990000,,,,rac-o-escopet-natural,"Ração Escopet Natural  ","Ração Escopet Natural  ","Ração Escopet Natural   ",/r/a/ra_ao_boa.png,,/r/a/ra_ao_boa.png,,/r/a/ra_ao_boa.png,,/r/a/ra_ao_boa.png,,01/09/2021 11:24,01/09/2021 11:24,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=Pequeno",50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/a/ra_ao_boa.png,,,,,,,,,,,,,,
Soft_Care_Dental,,Petshop,simple,"Patinhas/Cachorros,Patinhas/Banho",petshop_code,Soft Care Dental,,,100.000000,1,0,"Catalog, Search",68.000000,,,,soft-care-dental,Soft Care Dental,Soft Care Dental,"Soft Care Dental ",/d/e/dental.png,,/d/e/dental.png,,/d/e/dental.png,,/d/e/dental.png,,01/09/2021 11:28,01/09/2021 11:28,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remédio,petshop_shape=Médio",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/e/dental.png,,,,,,,,,,,,,,
Areia Mineralizada,,Petshop,simple,Patinhas/Pássaros,petshop_code,Areia Mineralizada,,,150.000000,1,0,"Catalog, Search",25.950000,,,,areia-mineralizada,Areia Mineralizada,Areia Mineralizada,"Areia Mineralizada ",/a/r/areia.jpg,,/a/r/areia.jpg,,/a/r/areia.jpg,,/a/r/areia.jpg,,01/09/2021 11:32,01/09/2021 11:32,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,petshop_shape=Pequeno,65.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/r/areia.jpg,,,,,,,,,,,,,,
Viveiro para passaros,,Petshop,simple,Patinhas/Pássaros,petshop_code,Viveiro para passaros,,,1000.000000,1,0,"Catalog, Search",350.000000,,,,viveiro-para-passaros,Viveiro para passaros,Viveiro para passaros,"Viveiro para passaros ",/v/i/viveiro.jpg,,/v/i/viveiro.jpg,,/v/i/viveiro.jpg,,/v/i/viveiro.jpg,,01/09/2021 11:37,01/09/2021 11:37,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,petshop_shape=Médio,15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/v/i/viveiro.jpg,,,,,,,,,,,,,,
Comida_para_gato,,Petshop,simple,Patinhas/Gatos,petshop_code,Comida para gatos - Whiskas,,,50.000000,1,0,"Catalog, Search",54.750000,,,,roupa-para-galo,Roupa para galo,Roupa para galo,"Roupa para galo ",/c/o/comida.jpg,,/c/o/comida.jpg,,/c/o/comida.jpg,,/c/o/comida.jpg,,01/09/2021 11:39,01/09/2021 11:45,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=Médio",35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/o/comida.jpg,,,,,,,,,,,,,,
Matisse salmão e arroz,,Petshop,simple,Patinhas/Gatos,petshop_code,Matisse salmão e arroz,,,,1,0,"Catalog, Search",70.000000,,,,matisse-salm-o-e-arroz,Matisse salmão e arroz,Matisse salmão e arroz,"Matisse salmão e arroz ",/c/o/comida1.jpg,,/c/o/comida1.jpg,,/c/o/comida1.jpg,,/c/o/comida1.jpg,,01/09/2021 11:48,01/09/2021 11:48,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=Médio",35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/o/comida1.jpg,,,,,,,,,,,,,,
